aX,aY,aZ,gX,gY,gZ
"
0.611",0.962,0.112,43.884,2.258,-79.651
"
0.622",0.891,0.061,34.790,14.160,-81.909
"
0.692",0.853,0.030,23.804,23.376,-79.895
"
0.798",0.830,0.010,19.653,26.733,-76.233
"
0.854",0.814,0.017,23.926,23.254,-77.393
"
0.871",0.795,0.055,34.058,14.038,-81.848
"
0.823",0.743,0.098,48.401,-3.113,-82.947
"
0.742",0.654,0.137,63.110,-20.813,-76.965
"
0.661",0.541,0.156,73.181,-34.180,-64.941
"
0.626",0.399,0.181,76.233,-40.405,-52.124
"
0.621",0.250,0.189,73.364,-35.400,-45.105
"
0.587",0.076,0.168,63.782,-20.020,-45.044
"
0.598",-0.098,0.135,50.842,5.188,-46.936
"
0.685",-0.199,0.088,35.889,33.264,-47.852
"
0.808",-0.266,0.018,23.499,50.964,-44.861
"
0.927",-0.340,-0.045,18.188,55.481,-39.185
"
1.005",-0.403,-0.095,17.212,48.218,-34.546
"
1.081",-0.448,-0.135,16.113,31.738,-31.311
"
1.123",-0.478,-0.109,13.000,6.348,-28.320
"
1.061",-0.569,-0.006,7.996,-23.621,-25.452
"
0.947",-0.672,0.085,1.282,-42.786,-24.353
"
0.863",-0.764,0.136,-8.057,-42.236,-24.170
"
0.843",-0.817,0.154,-19.653,-29.724,-22.278
"
0.844",-0.876,0.148,-31.677,-18.250,-17.883
"
0.879",-0.910,0.154,-41.443,-12.390,-13.672
"
0.886",-0.938,0.152,-47.852,-12.451,-12.146
"
0.888",-0.983,0.145,-49.622,-16.357,-10.986
"
0.870",-1.027,0.129,-45.593,-21.545,-7.690
"
0.845",-1.079,0.111,-35.950,-26.062,-2.502
"
0.806",-1.115,0.057,-23.926,-29.663,2.258
"
0.744",-1.149,-0.014,-12.390,-29.968,6.836
"
0.650",-1.148,-0.106,-5.249,-26.855,11.108
"
0.576",-1.124,-0.193,-2.625,-21.179,17.761
"
0.575",-1.050,-0.243,-3.357,-15.381,27.161
"
0.656",-0.985,-0.265,-5.554,-10.620,36.926
"
0.762",-0.920,-0.294,-5.554,-6.226,45.227
"
0.887",-0.831,-0.340,-3.845,-4.211,53.772
"
1.062",-0.728,-0.397,-1.465,-6.287,61.707
"
1.251",-0.617,-0.425,-1.343,-14.160,64.209
"
1.363",-0.517,-0.407,-3.906,-30.640,60.242
"
1.378",-0.443,-0.323,-4.639,-52.551,52.612
"
1.341",-0.383,-0.206,-3.723,-72.815,45.349
"
1.273",-0.342,-0.076,-2.136,-84.961,38.818
"
1.218",-0.333,0.056,-0.549,-86.182,32.715
"
1.158",-0.358,0.158,0.488,-78.064,26.917
"
1.152",-0.377,0.240,0.305,-65.125,23.865
"
1.160",-0.385,0.325,0.671,-52.429,21.973
"
1.161",-0.404,0.394,3.845,-41.138,19.348
"
1.165",-0.414,0.422,9.399,-32.410,16.174
"
1.173",-0.432,0.410,17.578,-23.499,13.000
"
1.182",-0.466,0.361,27.100,-15.564,10.986
"
1.178",-0.507,0.283,34.424,-9.705,9.949
"
1.177",-0.559,0.202,38.086,-2.563,9.705
"
1.205",-0.613,0.141,37.537,9.338,9.583
"
1.229",-0.654,0.094,34.485,24.231,7.202
"
1.236",-0.706,0.043,29.968,39.490,2.014
"
1.254",-0.756,-0.003,23.865,56.763,-3.662
"
1.269",-0.793,-0.045,16.541,74.402,-10.071
"
1.274",-0.838,-0.070,8.972,88.989,-15.076
"
1.313",-0.860,-0.058,2.502,97.656,-16.785
"
1.328",-0.841,-0.010,-0.366,94.543,-15.808
"
1.288",-0.813,0.070,2.319,79.529,-12.085
"
1.229",-0.801,0.160,10.925,60.303,-5.981
"
1.163",-0.802,0.214,23.132,44.861,1.587
"
1.109",-0.817,0.245,35.339,39.185,8.850
"
1.076",-0.830,0.245,44.250,43.701,15.991
"
1.110",-0.817,0.186,49.988,53.955,23.804
"
1.237",-0.777,0.073,52.429,59.814,33.325
"
1.356",-0.785,-0.002,49.622,49.805,40.771
