aX,aY,aZ,gX,gY,gZ
"
-0.006",-0.068,0.732,295.166,124.023,90.271
"
-0.041",-0.065,0.630,303.162,122.620,89.233
"
-0.076",-0.061,0.492,310.852,128.357,89.111
"
-0.060",-0.050,0.355,316.223,137.512,92.163
"
-0.036",-0.033,0.246,318.726,145.081,96.252
"
-0.032",-0.030,0.129,318.665,152.161,99.060
"
0.008",-0.051,-0.040,313.965,162.476,98.938
"
0.035",-0.077,-0.149,303.101,174.011,96.252
"
0.053",-0.041,-0.202,288.757,183.228,92.407
"
0.087",0.024,-0.214,277.222,190.063,88.257
"
0.109",0.073,-0.238,273.254,191.772,84.106
"
0.155",0.071,-0.328,275.085,186.951,80.261
"
0.227",0.002,-0.404,275.085,178.101,74.768
"
0.193",-0.032,-0.434,266.968,165.527,64.819
"
0.127",-0.033,-0.479,255.432,155.701,56.152
"
0.088",-0.046,-0.519,247.009,151.306,52.124
"
0.094",-0.052,-0.580,237.671,152.954,49.194
"
0.145",-0.035,-0.617,225.830,158.997,46.082
"
0.189",-0.013,-0.688,214.600,162.781,40.955
"
0.260",-0.015,-0.795,205.505,166.565,33.569
"
0.340",-0.006,-0.903,196.594,165.039,24.231
"
0.358",0.054,-1.017,188.599,153.809,13.855
"
0.331",0.089,-1.147,186.096,137.695,5.188
"
0.271",0.037,-1.335,186.523,120.483,-2.258
"
0.165",-0.059,-1.556,181.763,104.187,-10.925
"
0.034",-0.122,-1.751,168.701,91.125,-17.334
"
-0.072",-0.123,-1.948,151.062,80.688,-19.836
"
-0.154",-0.078,-2.148,131.531,70.251,-20.447
"
-0.282",-0.041,-2.369,115.601,58.105,-19.043
"
-0.404",-0.046,-2.645,103.943,42.297,-11.658
"
-0.425",-0.152,-2.902,88.867,25.269,-0.793
"
-0.293",-0.356,-3.037,61.646,4.639,9.888
"
-0.100",-0.496,-2.891,14.282,-17.273,15.442
"
0.040",-0.450,-2.454,-44.678,-37.842,10.986
"
0.095",-0.321,-2.009,-95.520,-57.678,-0.183
"
0.084",-0.208,-1.602,-124.512,-79.346,-9.583
"
0.011",-0.144,-1.286,-131.409,-99.487,-14.221
"
-0.036",-0.148,-1.102,-123.291,-113.831,-10.376
"
-0.013",-0.239,-1.087,-109.253,-118.103,-1.648
"
0.093",-0.349,-1.160,-99.182,-115.234,6.836
"
0.171",-0.441,-1.266,-100.464,-113.708,12.329
"
0.242",-0.455,-1.347,-115.540,-111.816,14.526
"
0.303",-0.412,-1.362,-139.038,-105.530,11.780
"
0.336",-0.363,-1.315,-163.757,-99.670,6.836
"
0.341",-0.274,-1.244,-186.829,-95.398,2.441
"
0.357",-0.188,-1.147,-205.566,-91.370,-1.221
"
0.355",-0.123,-1.060,-217.957,-87.891,-4.272
"
0.373",-0.109,-0.971,-224.731,-84.900,-5.432
"
0.363",-0.104,-0.887,-229.675,-83.008,-6.104
"
0.375",-0.116,-0.796,-232.300,-80.139,-6.287
"
0.402",-0.121,-0.736,-232.666,-77.271,-4.395
"
0.453",-0.165,-0.726,-233.643,-77.637,-4.578
"
0.501",-0.242,-0.748,-239.258,-81.970,-9.277
"
0.495",-0.262,-0.709,-254.883,-88.440,-18.494
"
0.461",-0.178,-0.562,-276.062,-91.675,-29.480
"
0.394",-0.083,-0.400,-289.429,-92.346,-38.574
"
0.373",-0.052,-0.274,-289.246,-92.346,-43.335
"
0.352",-0.052,-0.200,-281.067,-95.947,-42.969
"
0.315",-0.080,-0.160,-271.606,-100.464,-40.894
"
0.275",-0.127,-0.150,-263.855,-105.164,-39.673
"
0.253",-0.186,-0.126,-263.672,-112.610,-39.795
"
0.204",-0.146,-0.032,-271.484,-119.507,-43.396
"
0.140",-0.109,0.047,-281.006,-124.268,-49.316
"
0.133",-0.092,0.135,-288.452,-126.465,-54.260
"
0.143",-0.035,0.283,-293.335,-128.540,-59.143
"
0.151",0.066,0.512,-291.321,-141.052,-61.768
"
0.076",0.131,0.653,-278.442,-165.161,-62.439
"
-0.049",0.057,0.694,-254.333,-187.073,-60.486
"
-0.142",-0.067,0.678,-237.976,-195.435,-57.495
"
-0.245",-0.125,0.717,-237.549,-191.162,-57.678
"
-0.310",-0.121,0.783,-247.681,-176.331,-59.021
"
-0.343",-0.138,0.829,-260.437,-152.283,-57.556
"
-0.290",-0.075,0.876,-276.245,-121.399,-56.519
"
-0.182",0.016,0.991,-288.574,-96.130,-56.763
"
-0.109",0.166,1.158,-291.809,-91.614,-56.091
"
-0.156",0.274,1.339,-281.494,-107.971,-54.321
"
-0.245",0.328,1.496,-260.437,-129.883,-51.147
"
-0.320",0.319,1.569,-237.610,-142.822,-45.837
"
-0.361",0.225,1.629,-218.933,-145.874,-40.894
"
-0.418",0.117,1.615,-212.280,-139.526,-39.856
"
-0.411",0.057,1.605,-218.811,-117.676,-43.030
"
-0.279",0.111,1.640,-233.093,-82.642,-49.805
"
-0.154",0.200,1.763,-242.676,-55.420,-59.082
"
-0.204",0.316,1.922,-234.985,-48.584,-65.674
"
-0.298",0.331,2.001,-206.482,-54.382,-61.096
"
-0.375",0.247,1.929,-165.894,-57.129,-49.377
"

-0.192",-0.054,3.990,-184.937,-121.338,-44.250
"
-1.350",0.998,4.000,-142.212,-174.255,-51.880
"
-0.704",0.364,2.518,29.663,-54.077,-29.846
"
-0.512",-0.445,1.671,115.479,42.969,7.629
"
-0.382",-0.343,1.255,103.088,90.393,15.930
"
-0.265",-0.236,1.114,73.853,94.482,26.245
"
-0.114",-0.220,1.309,55.786,78.796,26.917
"
-0.057",-0.090,1.381,52.429,43.396,23.682
"
0.028",-0.076,1.449,61.218,31.982,26.855
"
0.157",-0.034,1.523,72.815,27.466,25.330
"
0.185",0.002,1.622,84.167,17.334,19.287
"
0.134",0.032,1.721,100.830,-5.188,16.235
