aX,aY,aZ,gX,gY,gZ
"
-1.399",0.515,-0.559,-23.560,89.966,-242.432
"
-1.349",0.454,-0.652,-21.790,76.111,-230.835
"
-1.347",0.428,-0.692,-22.278,49.561,-223.022
"
-1.362",0.424,-0.689,-22.278,18.311,-215.637
"
-1.470",0.410,-0.712,-19.897,-10.681,-205.078
"
-1.300",0.395,-0.726,-15.564,-31.433,-188.354
"
-1.732",0.344,-0.743,-8.911,-35.645,-161.377
"
-1.759",0.261,-0.872,-4.211,-30.518,-137.512
"
-2.242",0.117,-1.023,1.038,-23.682,-110.657
"
-3.872",0.028,-1.093,-3.784,-26.367,-81.604
"
-1.993",-0.322,-0.900,-16.296,-29.297,-30.579
"
-1.246",-0.048,-1.028,-11.230,12.512,30.457
"
-0.652",0.163,-1.004,-0.732,42.603,42.847
"
-0.448",0.078,-1.056,8.240,12.146,45.410
"
-0.317",0.093,-0.926,6.897,-58.044,43.945
"
-0.193",0.162,-0.754,2.258,-108.826,34.607
"
-0.111",0.198,-0.633,0.732,-112.366,29.602
"
0.015",0.197,-0.609,6.226,-95.276,30.457
"
0.164",0.190,-0.646,13.733,-70.007,30.457
"
0.296",0.199,-0.747,19.104,-44.739,24.658
"
0.303",0.174,-0.856,22.888,-29.480,15.137
"
0.194",0.114,-0.947,26.367,-29.053,5.066
"
-0.002",0.078,-1.021,26.428,-38.330,-3.357
"
-0.247",0.067,-1.078,25.513,-51.880,-9.216
"
-0.469",0.037,-1.112,25.818,-65.735,-12.024
"
-0.675",0.011,-1.155,26.062,-76.599,-10.742
"
-0.838",0.007,-1.166,22.949,-78.735,-5.127
"
-0.984",0.039,-1.120,17.456,-70.251,1.526
"
-1.133",0.048,-1.108,11.536,-59.692,13.733
"
-1.243",0.034,-1.096,4.944,-41.992,30.334
"
-1.324",0.040,-1.102,-2.625,-21.667,47.607
"
-1.353",0.090,-1.087,-9.216,-7.324,66.406
"
-1.379",0.136,-1.083,-12.634,-1.770,85.632
"
-1.381",0.188,-1.098,-13.062,-3.479,106.018
"
-1.355",0.233,-1.108,-11.230,-10.254,127.563
"
-1.313",0.306,-1.113,-9.033,-19.592,148.926
"
-1.256",0.369,-1.124,-4.333,-28.503,168.518
"
-1.174",0.398,-1.128,2.441,-38.330,187.439
"
-1.075",0.425,-1.142,7.324,-49.316,205.017
"
-1.016",0.427,-1.164,8.118,-60.364,218.201
